idx,lineno,itemno,Order_date,day_night_type,product_date,quantity,cnt
55644975,1200,73721-G6000-100,44783,1,2022-08-10 8:51,3,18134232
55644977,1200,73721-G6000-100,44783,1,2022-08-10 8:52,2,18134234
55644978,1200,73721-G6000-100,44783,1,2022-08-10 8:52,1,18134235
55644980,1200,73721-G6000-100,44783,1,2022-08-10 8:52,2,18134237
55644982,1200,73721-G6000-100,44783,1,2022-08-10 8:52,3,18134240
55644984,1200,73721-G6000-100,44783,1,2022-08-10 8:53,3,18134243
55644986,1200,73721-G6000-100,44783,1,2022-08-10 8:53,3,18134246
55644988,1200,73721-G6000-100,44783,1,2022-08-10 8:53,3,18134249
55644990,1200,73721-G6000-100,44783,1,2022-08-10 8:54,2,18134251
55644993,1200,73721-G6000-100,44783,1,2022-08-10 8:54,3,18134254
55644997,1200,73721-G6000-100,44783,1,2022-08-10 8:55,3,18134257
55645000,1200,73721-G6000-100,44783,1,2022-08-10 8:55,3,18134260
55645003,1200,73721-G6000-100,44783,1,2022-08-10 8:55,3,18134263
55645005,1200,73721-G6000-100,44783,1,2022-08-10 8:56,3,18134266
55645008,1200,73721-G6000-100,44783,1,2022-08-10 8:56,2,18134268
55645010,1200,73721-G6000-100,44783,1,2022-08-10 8:56,1,18134269
55645012,1200,73721-G6000-100,44783,1,2022-08-10 8:56,2,18134271
55645015,1200,73721-G6000-100,44783,1,2022-08-10 8:57,3,18134274
55645019,1200,73721-G6000-100,44783,1,2022-08-10 8:57,3,18134277
55645020,1200,73721-G6000-100,44783,1,2022-08-10 8:58,3,18134280
55645023,1200,73721-G6000-100,44783,1,2022-08-10 8:58,3,18134283
55645024,1200,73721-G6000-100,44783,1,2022-08-10 8:58,3,18134286
55645026,1200,73721-G6000-100,44783,1,2022-08-10 8:59,2,18134288
55645028,1200,73721-G6000-100,44783,1,2022-08-10 8:59,3,18134291
55645031,1200,73721-G6000-100,44783,1,2022-08-10 8:59,3,18134294
55645032,1200,73721-G6000-100,44783,1,2022-08-10 9:00,3,18134297
55645034,1200,73721-G6000-100,44783,1,2022-08-10 9:00,3,18134300
55645036,1200,73721-G6000-100,44783,1,2022-08-10 9:01,3,18134303
55645039,1200,73721-G6000-100,44783,1,2022-08-10 9:01,2,18134305
55645040,1200,73721-G6000-100,44783,1,2022-08-10 9:01,3,18134308
55645042,1200,73721-G6000-100,44783,1,2022-08-10 9:02,3,18134311
55645045,1200,73721-G6000-100,44783,1,2022-08-10 9:02,3,18134314
55645046,1200,73721-G6000-100,44783,1,2022-08-10 9:02,3,18134317
55645048,1200,73721-G6000-100,44783,1,2022-08-10 9:03,2,18134319
55645050,1200,73721-G6000-100,44783,1,2022-08-10 9:03,1,18134320
55645052,1200,73721-G6000-100,44783,1,2022-08-10 9:03,2,18134322
55645053,1200,73721-G6000-100,44783,1,2022-08-10 9:03,3,18134325
55645055,1200,73721-G6000-100,44783,1,2022-08-10 9:04,3,18134328
55645058,1200,73721-G6000-100,44783,1,2022-08-10 9:04,3,18134331
55645060,1200,73721-G6000-100,44783,1,2022-08-10 9:05,3,18134334
55645062,1200,73721-G6000-100,44783,1,2022-08-10 9:05,2,18134336
55645064,1200,73721-G6000-100,44783,1,2022-08-10 9:05,3,18134339
55645067,1200,73721-G6000-100,44783,1,2022-08-10 9:06,3,18134342
55645068,1200,73721-G6000-100,44783,1,2022-08-10 9:06,3,18134345
55645070,1200,73721-G6000-100,44783,1,2022-08-10 9:06,3,18134348
55645073,1200,73721-G6000-100,44783,1,2022-08-10 9:07,3,18134351
55645074,1200,73721-G6000-100,44783,1,2022-08-10 9:07,2,18134353
55645076,1200,73721-G6000-100,44783,1,2022-08-10 9:08,3,18134356
55645078,1200,73721-G6000-100,44783,1,2022-08-10 9:08,3,18134359
55645081,1200,73721-G6000-100,44783,1,2022-08-10 9:08,3,18134362
55645082,1200,73721-G6000-100,44783,1,2022-08-10 9:09,3,18134365
55645084,1200,73721-G6000-100,44783,1,2022-08-10 9:09,2,18134367
55645086,1200,73721-G6000-100,44783,1,2022-08-10 9:09,1,18134368
55645089,1200,73721-G6000-100,44783,1,2022-08-10 9:09,2,18134370
55645091,1200,73721-G6000-100,44783,1,2022-08-10 9:10,3,18134373
55645094,1200,73721-G6000-100,44783,1,2022-08-10 9:10,3,18134376
55645097,1200,73721-G6000-100,44783,1,2022-08-10 9:11,3,18134379
55645100,1200,73721-G6000-100,44783,1,2022-08-10 9:11,3,18134382
55645103,1200,73721-G6000-100,44783,1,2022-08-10 9:11,2,18134384
55645105,1200,73721-G6000-100,44783,1,2022-08-10 9:11,1,18134385
55645107,1200,73721-G6000-100,44783,1,2022-08-10 9:12,2,18134387
55645111,1200,73721-G6000-100,44783,1,2022-08-10 9:12,3,18134390
55645113,1200,73721-G6000-100,44783,1,2022-08-10 9:12,3,18134393
55645117,1200,73721-G6000-100,44783,1,2022-08-10 9:13,3,18134396
55645120,1200,73721-G6000-100,44783,1,2022-08-10 9:13,3,18134399
55645123,1200,73721-G6000-100,44783,1,2022-08-10 9:14,3,18134402
55645124,1200,73721-G6000-100,44783,1,2022-08-10 9:14,2,18134404
55645125,1200,73721-G6000-100,44783,1,2022-08-10 9:14,3,18134407
55645127,1200,73721-G6000-100,44783,1,2022-08-10 9:15,3,18134410
55645130,1200,73721-G6000-100,44783,1,2022-08-10 9:15,3,18134413
55645133,1200,73721-G6000-100,44783,1,2022-08-10 9:15,3,18134416
55645134,1200,73721-G6000-100,44783,1,2022-08-10 9:16,3,18134419
55645137,1200,73721-G6000-100,44783,1,2022-08-10 9:16,2,18134421
55645139,1200,73721-G6000-100,44783,1,2022-08-10 9:17,3,18134424
55645142,1200,73721-G6000-100,44783,1,2022-08-10 9:17,3,18134427
55645145,1200,73721-G6000-100,44783,1,2022-08-10 9:17,3,18134430
55645149,1200,73721-G6000-100,44783,1,2022-08-10 9:18,3,18134433
55645150,1200,73721-G6000-100,44783,1,2022-08-10 9:18,3,18134436
55645153,1200,73721-G6000-100,44783,1,2022-08-10 9:18,3,18134439
55645156,1200,73721-G6000-100,44783,1,2022-08-10 9:19,2,18134441
55645160,1200,73721-G6000-100,44783,1,2022-08-10 9:19,3,18134444
55645162,1200,73721-G6000-100,44783,1,2022-08-10 9:20,3,18134447
55645165,1200,73721-G6000-100,44783,1,2022-08-10 9:20,3,18134450
55645169,1200,73721-G6000-100,44783,1,2022-08-10 9:20,3,18134453
55645171,1200,73721-G6000-100,44783,1,2022-08-10 9:21,2,18134455
55645173,1200,73721-G6000-100,44783,1,2022-08-10 9:21,1,18134456
55645176,1200,73721-G6000-100,44783,1,2022-08-10 9:21,2,18134458
55645178,1200,73721-G6000-100,44783,1,2022-08-10 9:21,3,18134461
55645181,1200,73721-G6000-100,44783,1,2022-08-10 9:22,3,18134464
55645184,1200,73721-G6000-100,44783,1,2022-08-10 9:22,3,18134467
55645188,1200,73721-G6000-100,44783,1,2022-08-10 9:23,3,18134470
55645192,1200,73721-G6000-100,44783,1,2022-08-10 9:23,2,18134472
55645194,1200,73721-G6000-100,44783,1,2022-08-10 9:23,3,18134475
55645198,1200,73721-G6000-100,44783,1,2022-08-10 9:24,3,18134478
55645201,1200,73721-G6000-100,44783,1,2022-08-10 9:24,3,18134481
55645204,1200,73721-G6000-100,44783,1,2022-08-10 9:24,3,18134484
55645206,1200,73721-G6000-100,44783,1,2022-08-10 9:25,2,18134486
55645209,1200,73721-G6000-100,44783,1,2022-08-10 9:25,3,18134489
55645212,1200,73721-G6000-100,44783,1,2022-08-10 9:26,3,18134492
55645215,1200,73721-G6000-100,44783,1,2022-08-10 9:26,3,18134495
55645219,1200,73721-G6000-100,44783,1,2022-08-10 9:26,3,18134498
55645223,1200,73721-G6000-100,44783,1,2022-08-10 9:27,3,18134501
55645225,1200,73721-G6000-100,44783,1,2022-08-10 9:27,3,18134504
55645228,1200,73721-G6000-100,44783,1,2022-08-10 9:27,2,18134506
55645230,1200,73721-G6000-100,44783,1,2022-08-10 9:27,1,18134507
55645232,1200,73721-G6000-100,44783,1,2022-08-10 9:28,2,18134509
55645236,1200,73721-G6000-100,44783,1,2022-08-10 9:28,3,18134512
55645239,1200,73721-G6000-100,44783,1,2022-08-10 9:29,3,18134515
55645242,1200,73721-G6000-100,44783,1,2022-08-10 9:29,3,18134518
55645245,1200,73721-G6000-100,44783,1,2022-08-10 9:29,3,18134521
55645247,1200,73721-G6000-100,44783,1,2022-08-10 9:30,2,18134523
55645250,1200,73721-G6000-100,44783,1,2022-08-10 9:30,3,18134526
55645253,1200,73721-G6000-100,44783,1,2022-08-10 9:30,3,18134529
55645257,1200,73721-G6000-100,44783,1,2022-08-10 9:31,3,18134532
55645259,1200,73721-G6000-100,44783,1,2022-08-10 9:31,3,18134535
55645262,1200,73721-G6000-100,44783,1,2022-08-10 9:32,3,18134538
55645266,1200,73721-G6000-100,44783,1,2022-08-10 9:32,2,18134540
55645268,1200,73721-G6000-100,44783,1,2022-08-10 9:32,3,18134543
55645271,1200,73721-G6000-100,44783,1,2022-08-10 9:33,3,18134546
55645273,1200,73721-G6000-100,44783,1,2022-08-10 9:33,3,18134549
55645276,1200,73721-G6000-100,44783,1,2022-08-10 9:33,3,18134552
55645279,1200,73721-G6000-100,44783,1,2022-08-10 9:34,3,18134555
55645283,1200,73721-G6000-100,44783,1,2022-08-10 9:34,3,18134558
55645285,1200,73721-G6000-100,44783,1,2022-08-10 9:35,2,18134560
55645287,1200,73721-G6000-100,44783,1,2022-08-10 9:35,3,18134563
55645289,1200,73721-G6000-100,44783,1,2022-08-10 9:35,3,18134566
55645292,1200,73721-G6000-100,44783,1,2022-08-10 9:36,3,18134569
55645295,1200,73721-G6000-100,44783,1,2022-08-10 9:36,3,18134572
55645299,1200,73721-G6000-100,44783,1,2022-08-10 9:36,3,18134575
55645302,1200,73721-G6000-100,44783,1,2022-08-10 9:37,3,18134578
55645304,1200,73721-G6000-100,44783,1,2022-08-10 9:37,2,18134580
55645306,1200,73721-G6000-100,44783,1,2022-08-10 9:38,3,18134583
