itemno,qty,machine,current
9,53,amp_1,0.0
9,53,amp_2,2.6767019882048273
9,53,amp_3,0.0
9,53,amp_4,0.0
9,53,amp_5,4.78662109375
9,53,amp_6,4.167275905609131
9,54,amp_1,0.0
9,54,amp_2,2.6767019882048273
9,54,amp_3,0.0
9,54,amp_4,0.0
9,54,amp_5,4.85498046875
9,54,amp_6,4.234303951263428
9,55,amp_1,0.0
9,55,amp_2,2.6767019882048273
9,55,amp_3,0.0
9,55,amp_4,0.0
9,55,amp_5,4.92333984375
9,55,amp_6,4.301331520080566
9,56,amp_1,0.0
9,56,amp_2,2.6767019882048273
9,56,amp_3,0.0
9,56,amp_4,0.0
9,56,amp_5,4.99169921875
9,56,amp_6,4.368359565734863
9,57,amp_1,0.0
9,57,amp_2,2.6767019882048273
9,57,amp_3,0.0
9,57,amp_4,0.0
9,57,amp_5,5.06005859375
9,57,amp_6,4.435387134552002
9,58,amp_1,0.0
9,58,amp_2,2.6767019882048273
9,58,amp_3,0.0
9,58,amp_4,0.0
9,58,amp_5,5.128662109375
9,58,amp_6,4.502415180206299
9,59,amp_1,0.0
9,59,amp_2,2.6767019882048273
9,59,amp_3,0.0
9,59,amp_4,0.0
9,59,amp_5,5.197021484375
9,59,amp_6,4.5694427490234375
9,60,amp_1,0.0
9,60,amp_2,2.6767019882048273
9,60,amp_3,0.0
9,60,amp_4,0.0
9,60,amp_5,5.265380859375
9,60,amp_6,4.636470317840576
9,61,amp_1,0.0
9,61,amp_2,2.6767019882048273
9,61,amp_3,0.0
9,61,amp_4,0.0
9,61,amp_5,5.333740234375
9,61,amp_6,4.703498363494873
9,62,amp_1,0.0
9,62,amp_2,2.6767019882048273
9,62,amp_3,0.0
9,62,amp_4,0.0
9,62,amp_5,5.402099609375
9,62,amp_6,4.770525932312012
9,63,amp_1,0.0
9,63,amp_2,2.6767019882048273
9,63,amp_3,0.0
9,63,amp_4,0.0
9,63,amp_5,5.470458984375
9,63,amp_6,4.837553977966309
9,64,amp_1,0.0
9,64,amp_2,2.6767019882048273
9,64,amp_3,0.0
9,64,amp_4,0.0
9,64,amp_5,5.538818359375
9,64,amp_6,4.904581546783447
9,65,amp_1,0.0
9,65,amp_2,2.6767019882048273
9,65,amp_3,0.0
9,65,amp_4,0.0
9,65,amp_5,5.607177734375
9,65,amp_6,4.971609115600586
9,66,amp_1,0.0
9,66,amp_2,2.6767019882048273
9,66,amp_3,0.0
9,66,amp_4,0.0
9,66,amp_5,5.67578125
9,66,amp_6,5.038637161254883
9,67,amp_1,0.0
9,67,amp_2,2.6767019882048273
9,67,amp_3,0.0
9,67,amp_4,0.0
9,67,amp_5,5.744140625
9,67,amp_6,5.1056647300720215
9,68,amp_1,0.0
9,68,amp_2,2.6767019882048273
9,68,amp_3,0.0
9,68,amp_4,0.0
9,68,amp_5,5.8125
9,68,amp_6,5.172692775726318
9,69,amp_1,0.0
9,69,amp_2,2.6767019882048273
9,69,amp_3,0.0
9,69,amp_4,0.0
9,69,amp_5,5.880859375
9,69,amp_6,5.239720344543457
9,70,amp_1,0.0
9,70,amp_2,2.6767019882048273
9,70,amp_3,0.0
9,70,amp_4,0.0
9,70,amp_5,5.94921875
9,70,amp_6,5.306748390197754
9,71,amp_1,0.0
9,71,amp_2,2.6767019882048273
9,71,amp_3,0.0
9,71,amp_4,0.0
9,71,amp_5,6.017578125
9,71,amp_6,5.373775959014893
9,72,amp_1,0.0
9,72,amp_2,2.6767019882048273
9,72,amp_3,0.0
9,72,amp_4,0.0
9,72,amp_5,6.0859375
9,72,amp_6,5.4408040046691895
9,73,amp_1,0.0
9,73,amp_2,2.6767019882048273
9,73,amp_3,0.0
9,73,amp_4,0.0
9,73,amp_5,6.154296875
9,73,amp_6,5.507831573486328
9,74,amp_1,0.0
9,74,amp_2,2.6767019882048273
9,74,amp_3,0.0
9,74,amp_4,0.0
9,74,amp_5,6.222900390625
9,74,amp_6,5.574859619140625
9,75,amp_1,0.0
9,75,amp_2,2.6767019882048273
9,75,amp_3,0.0
9,75,amp_4,0.0
9,75,amp_5,6.291259765625
9,75,amp_6,5.641887187957764
9,76,amp_1,0.0
9,76,amp_2,2.6767019882048273
9,76,amp_3,0.0
9,76,amp_4,0.0
9,76,amp_5,6.359619140625
9,76,amp_6,5.708914756774902
9,77,amp_1,0.0
9,77,amp_2,2.6767019882048273
9,77,amp_3,0.0
9,77,amp_4,0.0
9,77,amp_5,6.427978515625
9,77,amp_6,5.775942802429199
9,78,amp_1,0.0
9,78,amp_2,2.6767019882048273
9,78,amp_3,0.0
9,78,amp_4,0.0
9,78,amp_5,6.496337890625
9,78,amp_6,5.842970371246338
9,79,amp_1,0.0
9,79,amp_2,2.6767019882048273
9,79,amp_3,0.0
9,79,amp_4,0.0
9,79,amp_5,6.564697265625
9,79,amp_6,5.909998416900635
9,80,amp_1,0.0
9,80,amp_2,2.6767019882048273
9,80,amp_3,0.0
9,80,amp_4,0.0
9,80,amp_5,6.633056640625
9,80,amp_6,5.977025985717773
9,81,amp_1,0.0
9,81,amp_2,2.6767019882048273
9,81,amp_3,0.0
9,81,amp_4,0.0
9,81,amp_5,6.701416015625
9,81,amp_6,6.04405403137207
9,82,amp_1,0.0
9,82,amp_2,2.6767019882048273
9,82,amp_3,0.0
9,82,amp_4,0.0
9,82,amp_5,6.77001953125
9,82,amp_6,6.111081600189209
9,83,amp_1,0.0
9,83,amp_2,2.6767019882048273
9,83,amp_3,0.0
9,83,amp_4,0.0
9,83,amp_5,6.83837890625
9,83,amp_6,6.178109645843506
9,84,amp_1,0.0
9,84,amp_2,2.6767019882048273
9,84,amp_3,0.0
9,84,amp_4,0.0
9,84,amp_5,6.90673828125
9,84,amp_6,6.2451372146606445
9,85,amp_1,0.0
9,85,amp_2,2.6767019882048273
9,85,amp_3,0.0
9,85,amp_4,0.0
9,85,amp_5,6.97509765625
9,85,amp_6,6.312165260314941
9,86,amp_1,0.0
9,86,amp_2,2.6767019882048273
9,86,amp_3,0.0
9,86,amp_4,0.0
9,86,amp_5,7.04345703125
9,86,amp_6,6.37919282913208
9,87,amp_1,0.0
9,87,amp_2,2.6767019882048273
9,87,amp_3,0.0
9,87,amp_4,0.0
9,87,amp_5,7.11181640625
9,87,amp_6,6.446220397949219
9,88,amp_1,0.0
9,88,amp_2,2.6767019882048273
9,88,amp_3,0.0
9,88,amp_4,0.0
9,88,amp_5,7.18017578125
9,88,amp_6,6.513248443603516
9,89,amp_1,0.0
9,89,amp_2,2.6767019882048273
9,89,amp_3,0.0
9,89,amp_4,0.0
9,89,amp_5,7.248779296875
9,89,amp_6,6.580276012420654
9,90,amp_1,0.0
9,90,amp_2,2.6767019882048273
9,90,amp_3,0.0
9,90,amp_4,0.0
9,90,amp_5,7.317138671875
9,90,amp_6,6.647304058074951
9,91,amp_1,0.0
9,91,amp_2,2.6767019882048273
9,91,amp_3,0.0
9,91,amp_4,0.0
9,91,amp_5,7.385498046875
9,91,amp_6,6.71433162689209
9,92,amp_1,0.0
9,92,amp_2,2.6767019882048273
9,92,amp_3,0.0
9,92,amp_4,0.0
9,92,amp_5,7.453857421875
